key,cat,val
sft3,pct_unique_words,24.556962025316455
sft3,pct_unique_words,25.080385852090032
sft3,pct_unique_words,23.81835032437442
sft3,pct_unique_words,22.29625832906202
sft3,pct_unique_words,21.805896805896808
sft3,pct_unique_words,16.53250773993808
sft3,pct_unique_words,20.481927710843372
sft3,pct_unique_words,32.81990521327014
sft3,pct_unique_words,17.43869209809264
sft3,pct_unique_words,11.391644123835288
sft3,pct_unique_words,14.682539682539684
sft3,pct_unique_words,19.187862561356535
sft3,pct_unique_words,16.71388101983003
sft3,pct_unique_words,30.576208178438662
sft3,pct_unique_words,21.872265966754156
sft3,pct_unique_words,18.515742128935532
sft3,pct_unique_words,14.209591474245114
sft3,pct_unique_words,21.45258910558171
sft3,pct_unique_words,13.963161021984552
sft3,pct_unique_words,21.737044145873323
sft3,pct_unique_words,33.55048859934853
sft3,pct_unique_words,23.110720562390156
sft3,pct_unique_words,31.470588235294116
sft3,pct_unique_words,18.522663682148853
sft3,pct_unique_words,20.31545741324921
sft3,pct_unique_words,18.27141774071266
sft3,pct_unique_words,22.205809945839487
sft3,pct_unique_words,9.095307208514756
sft3,pct_unique_words,19.816643159379407
sft3,pct_unique_words,15.645954403218596
sft3,pct_unique_words,21.503637833468066
sft3,pct_unique_words,26.17960426179604
sft3,pct_unique_words,20.437956204379564
sft3,pct_unique_words,19.71947194719472
sft3,pct_unique_words,16.57142857142857
sft3,pct_unique_words,20.817490494296578
sft3,pct_unique_words,21.318879855465223
sft3,pct_unique_words,25.428571428571427
sft3,pct_unique_words,26.923076923076923
sft3,pct_unique_words,31.789473684210527
sft3,pct_unique_words,10.816777041942604
sft3,pct_unique_words,29.052369077306732
sft3,pct_unique_words,13.631790744466802
sft3,pct_unique_words,20.097146326654524
sft3,pct_unique_words,18.30985915492958
sft3,pct_unique_words,22.74826789838337
sft3,pct_unique_words,18.331716779825413
sft3,pct_unique_words,35.33190578158458
sft3,pct_unique_words,22.495755517826826
sft3,pct_unique_words,24.9743062692703
sft3,pct_unique_words,23.49056603773585
sft3,pct_unique_words,21.856086079354405
sft3,pct_unique_words,19.101876675603215
sft3,pct_unique_words,20.508166969147005
sft3,pct_unique_words,21.41863699582754
sft3,pct_unique_words,30.03533568904594
sft3,pct_unique_words,15.426398696360675
sft3,pct_unique_words,26.55367231638418
sft3,pct_unique_words,23.647711511789183
sft3,pct_unique_words,28.971962616822427
sft3,pct_unique_words,16.4969450101833
sft3,pct_unique_words,22.74247491638796
sft3,pct_unique_words,18.861364624076487
sft3,pct_unique_words,23.316062176165804
sft3,pct_unique_words,27.12871287128713
sft3,pct_unique_words,22.370012091898428
sft3,pct_unique_words,27.46268656716418
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,3.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,3.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,4.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,3.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,3.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,3.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,3.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,4.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,3.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,3.0
sft3,num_paragraphs,3.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,3.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
sft3,num_paragraphs,2.0
